,currency,open_date,open_price,open_value_usd,quantity,symbol,price,value_usd,p/l,p/l_ils,broker,data,prec,prev,text_out,daily_dif,pos_out
0,USD,2020-12-14,330.5,3305.0,10.0,SNOW,236.63999938964844,2366.3999938964844,-938.6000061035156,-3053.2883711277827,bh,"{'1y Target Est': 298.5, '52 Week Range': '205.07 - 429.00', 'Ask': '0.00 x 1100', 'Avg. Volume': 4554655.0, 'Beta (5Y Monthly)': nan, 'Bid': '0.00 x 800', ""Day's Range"": '234.10 - 239.72', 'EPS (TTM)': -3.81, 'Earnings Date': 'Mar 03, 2021', 'Ex-Dividend Date': nan, 'Forward Dividend & Yield': 'N/A (N/A)', 'Market Cap': '68.318B', 'Open': 236.0, 'PE Ratio (TTM)': nan, 'Previous Close': 238.17, 'Quote Price': 236.63999938964844, 'Volume': 1346638.0}",2,238.17,"SNOW:   USD236.63999938964844,dif:USD-1.52,   -0.64%",-0.64,"SNOW:  USD236.63999938964844,amount:10.0dif:   -0.64%, pnl:-938.6"
1,USD,2020-12-14,60.15,2406.0,40.0,HYMTF,48.31999969482422,1932.7999877929688,-473.20001220703125,-1539.3310090495659,bh,"{'1y Target Est': nan, '52 Week Range': '20.29 - 71.00', 'Ask': '0.00 x 0', 'Avg. Volume': 32413.0, 'Beta (5Y Monthly)': 0.99, 'Bid': '0.00 x 0', ""Day's Range"": '48.10 - 48.76', 'EPS (TTM)': 2.46, 'Earnings Date': nan, 'Ex-Dividend Date': 'Jun 27, 2019', 'Forward Dividend & Yield': 'N/A (N/A)', 'Market Cap': '49.657B', 'Open': 48.75, 'PE Ratio (TTM)': 19.67, 'Previous Close': 49.2, 'Quote Price': 48.31999969482422, 'Volume': 4656.0}",2,49.2,"HYMTF:  USD48.31999969482422,dif:USD-0.88,   -1.79%",-1.79,"HYMTF: USD48.31999969482422,amount:40.0dif:   -1.79%, pnl:-473.2"
2,USD,2021-02-12,18.88,1888.0,100.0,XIACY,14.7,1470.0,-418.0,-1359.764043077,bh,"{'Quote Price': 14.7, 'Previous Close': 14.7}",2,14.7,"XIACY:  USD14.7,    dif:USD+0.0,    +0.00%",0.0,"XIACY: USD14.7,amount:100.0    dif:    +0.00%, pnl:-418.0"
4,USD,2021-02-12,3.77,1508.0,400.0,XIACF,3.1600000858306885,1264.0000343322754,-243.9999656677246,-793.7377507822832,bh,"{'1y Target Est': nan, '52 Week Range': '2.8900 - 3.6000', 'Ask': '0.0000 x 0', 'Avg. Volume': 143990.0, 'Beta (5Y Monthly)': 1.43, 'Bid': '0.0000 x 0', ""Day's Range"": '3.0500 - 3.2500', 'EPS (TTM)': 0.127, 'Earnings Date': nan, 'Ex-Dividend Date': nan, 'Forward Dividend & Yield': 'N/A (N/A)', 'Market Cap': '81.161B', 'Open': 3.25, 'PE Ratio (TTM)': 24.88, 'Previous Close': 3.3, 'Quote Price': 3.1600000858306885, 'Volume': 12954.0}",2,3.3,"XIACF:  USD3.1600000858306885,dif:USD-0.14,   -4.24%",-4.24,"XIACF: USD3.1600000858306885,amount:400.0dif:   -4.24%, pnl:-244.0"
3,USD,2021-03-14,12.8,1280.0,100.0,INVZ,11.5,1150.0,-130.0,-422.89312344499996,bh,"{'1y Target Est': nan, '52 Week Range': '10.87 - 11.50', 'Ask': '0.00 x 1200', 'Avg. Volume': nan, 'Beta (5Y Monthly)': nan, 'Bid': '0.00 x 800', ""Day's Range"": '10.87 - 11.50', 'EPS (TTM)': nan, 'Earnings Date': nan, 'Ex-Dividend Date': nan, 'Forward Dividend & Yield': 'N/A (N/A)', 'Market Cap': nan, 'Open': 11.17, 'PE Ratio (TTM)': nan, 'Previous Close': 11.17, 'Quote Price': 11.5, 'Volume': 470609.0}",2,11.17,"INVZ:   USD11.5,    dif:USD+0.33,   +2.95%",2.95,"INVZ:  USD11.5,amount:100.0    dif:   +2.95%, pnl:-130.0"
22,USD,2021-04-22 14:59:27.187221,9.95,2985.0,300.0,TWCT,9.920000076293945,2976.0000228881836,-8.999977111816406,-29.277141782688844,bh,"{'1y Target Est': nan, '52 Week Range': '9.65 - 11.75', 'Ask': '0.00 x 4000', 'Avg. Volume': 378365.0, 'Beta (5Y Monthly)': nan, 'Bid': '0.00 x 2900', ""Day's Range"": '9.90 - 10.00', 'EPS (TTM)': nan, 'Earnings Date': nan, 'Ex-Dividend Date': nan, 'Forward Dividend & Yield': 'N/A (N/A)', 'Market Cap': '744M', 'Open': 10.0, 'PE Ratio (TTM)': nan, 'Previous Close': 10.0, 'Quote Price': 9.920000076293945, 'Volume': 418385.0}",2,10.0,"TWCT:   USD9.920000076293945,dif:USD-0.08,   -0.80%",-0.8,"TWCT:  USD9.920000076293945,amount:300.0dif:    -0.80%, pnl:-9.0"
7,USD,2020-04-13,370.8,2224.8,6.0,LMT,372.94000244140625,2237.6400146484375,12.840014648437318,41.768876151978546,bh,"{'1y Target Est': 428.12, '52 Week Range': '319.81 - 417.62', 'Ask': '375.00 x 1400', 'Avg. Volume': 2015241.0, 'Beta (5Y Monthly)': 0.98, 'Bid': '371.02 x 800', ""Day's Range"": '370.95 - 373.88', 'EPS (TTM)': 24.78, 'Earnings Date': 'Jul 19, 2021 - Jul 23, 2021', 'Ex-Dividend Date': 'May 28, 2021', 'Forward Dividend & Yield': '10.40 (2.79%)', 'Market Cap': '103.653B', 'Open': 373.46, 'PE Ratio (TTM)': 15.05, 'Previous Close': 373.22, 'Quote Price': 372.94000244140625, 'Volume': 1095940.0}",2,373.22,"LMT:    USD372.94000244140625,dif:USD-0.3,    -0.08%",-0.08,"LMT:   USD372.94000244140625,amount:6.0dif:   -0.08%, pnl:12.84"
6,USD,2020-01-19,215.0,430.0,2.0,BABA,236.72000122070312,473.44000244140625,43.44000244140625,141.31137165311318,bh,"{'1y Target Est': 315.19, '52 Week Range': '189.53 - 319.32', 'Ask': '238.30 x 1100', 'Avg. Volume': 18891218.0, 'Beta (5Y Monthly)': 0.82, 'Bid': '238.01 x 900', ""Day's Range"": '236.33 - 239.22', 'EPS (TTM)': 8.94, 'Earnings Date': 'May 20, 2021 - May 24, 2021', 'Ex-Dividend Date': nan, 'Forward Dividend & Yield': 'N/A (N/A)', 'Market Cap': '647.41B', 'Open': 237.57, 'PE Ratio (TTM)': 26.48, 'Previous Close': 235.92, 'Quote Price': 236.72000122070312, 'Volume': 8970607.0}",2,235.92,"BABA:   USD236.72000122070312,dif:USD+0.8,    +0.34%",0.34,"BABA:  USD236.72000122070312,amount:2.0dif:   +0.34%, pnl:43.44"
5,USD,2021-04-20 20:44:47.393668,9.4,282.0,30.0,INVZ,11.5,345.0,63.0,204.9405136695,bh,"{'1y Target Est': nan, '52 Week Range': '10.87 - 11.50', 'Ask': '0.00 x 1200', 'Avg. Volume': nan, 'Beta (5Y Monthly)': nan, 'Bid': '0.00 x 800', ""Day's Range"": '10.87 - 11.50', 'EPS (TTM)': nan, 'Earnings Date': nan, 'Ex-Dividend Date': nan, 'Forward Dividend & Yield': 'N/A (N/A)', 'Market Cap': nan, 'Open': 11.17, 'PE Ratio (TTM)': nan, 'Previous Close': 11.17, 'Quote Price': 11.5, 'Volume': 470609.0}",2,11.17,"INVZ:   USD11.5,    dif:USD+0.33,   +2.95%",2.95,"INVZ:  USD11.5,amount:30.0    dif:   +2.95%, pnl:63.0"
9,USD,2020-01-19,49.88,1995.2,40.0,SNAP,62.040000915527344,2481.6000366210938,486.4000366210937,1582.2710056188976,bh,"{'1y Target Est': 76.68, '52 Week Range': '12.01 - 73.59', 'Ask': '62.85 x 800', 'Avg. Volume': 22665931.0, 'Beta (5Y Monthly)': 1.23, 'Bid': '62.75 x 1100', ""Day's Range"": '57.86 - 62.14', 'EPS (TTM)': -0.63, 'Earnings Date': 'Jul 19, 2021 - Jul 23, 2021', 'Ex-Dividend Date': nan, 'Forward Dividend & Yield': 'N/A (N/A)', 'Market Cap': '94.517B', 'Open': 59.85, 'PE Ratio (TTM)': nan, 'Previous Close': 60.51, 'Quote Price': 62.040000915527344, 'Volume': 41747166.0}",2,60.51,"SNAP:   USD62.040000915527344,dif:USD+1.53,   +2.53%",2.53,"SNAP:  USD62.040000915527344,amount:40.0dif:   +2.53%, pnl:486.4"
