,currency,open_date,price,quantity,symbol,value_usd,open_price,open_value_usd,p/l,broker,p/l_ils,data,prec,prev,text_out,daily_dif,pos_out
0,USD,15:08.4,11.40999984741211,286.28,FTCV,3266.454756317138,12.53,3587.0884,-320.63364368286193,etoro,-1043.0289466045897,"{'1y Target Est': nan, '52 Week Range': '10.09 - 15.70', 'Ask': '0.00 x 1200', 'Avg. Volume': 1855102.0, 'Beta (5Y Monthly)': nan, 'Bid': '0.00 x 800', ""Day's Range"": '11.30 - 11.80', 'EPS (TTM)': nan, 'Earnings Date': nan, 'Ex-Dividend Date': nan, 'Forward Dividend & Yield': 'N/A (N/A)', 'Market Cap': '390.07M', 'Open': 11.79, 'PE Ratio (TTM)': nan, 'Previous Close': 11.8, 'Quote Price': 11.40999984741211, 'Volume': 495724.0}",2,11.8,"FTCV:   USD11.40999984741211,dif:USD-0.39,   -3.31%",-3.31,"FTCV:  USD11.40999984741211,amount:286.28dif:   -3.31%, pnl:-320.63"
1,USD,15:08.4,10.130000114440918,270.0,FTOC,2735.100030899048,10.92,2948.4,-213.29996910095224,etoro,-693.8699243371052,"{'1y Target Est': nan, '52 Week Range': '9.60 - 14.50', 'Ask': '0.00 x 3000', 'Avg. Volume': 3184303.0, 'Beta (5Y Monthly)': nan, 'Bid': '0.00 x 1200', ""Day's Range"": '10.05 - 10.17', 'EPS (TTM)': nan, 'Earnings Date': nan, 'Ex-Dividend Date': nan, 'Forward Dividend & Yield': 'N/A (N/A)', 'Market Cap': '983.172M', 'Open': 10.1, 'PE Ratio (TTM)': nan, 'Previous Close': 10.09, 'Quote Price': 10.130000114440918, 'Volume': 727411.0}",2,10.09,"FTOC:   USD10.130000114440918,dif:USD+0.04,   +0.40%",0.4,"FTOC:  USD10.130000114440918,amount:270.0dif:    +0.40%, pnl:-213.3"
6,USD,2021-04-21 15:18:47.228368,10.130000114440918,130.0,FTOC,1316.9000148773193,10.12,1315.6,1.3000148773194269,etoro,4.228979630727546,"{'1y Target Est': nan, '52 Week Range': '9.60 - 14.50', 'Ask': '0.00 x 3000', 'Avg. Volume': 3184303.0, 'Beta (5Y Monthly)': nan, 'Bid': '0.00 x 1200', ""Day's Range"": '10.05 - 10.17', 'EPS (TTM)': nan, 'Earnings Date': nan, 'Ex-Dividend Date': nan, 'Forward Dividend & Yield': 'N/A (N/A)', 'Market Cap': '983.172M', 'Open': 10.1, 'PE Ratio (TTM)': nan, 'Previous Close': 10.09, 'Quote Price': 10.130000114440918, 'Volume': 727411.0}",2,10.09,"FTOC:   USD10.130000114440918,dif:USD+0.04,   +0.40%",0.4,"FTOC:  USD10.130000114440918,amount:130.0dif:    +0.40%, pnl:1.3"
3,USD,2021-04-22 14:59:27.187221,0.5031993389129639,1000.0,XLM-USD,503.19933891296387,0.4978,497.8,5.399338912963856,etoro,17.564179211087815,"{'52 Week Range': '0.0454 - 0.6008', 'Algorithm': nan, 'Circulating Supply': '22.94B', ""Day's Range"": '0.485 - 0.503', 'Market Cap': '11.544B', 'Max Supply': nan, 'Open': 0.495, 'Previous Close': 0.495, 'Quote Price': 0.5031993389129639, 'Start Date': '2014-08-05', 'Volume': 942809728.0, 'Volume (24hr)': '942.81M', 'Volume (24hr) All Currencies': '942.81M'}",5,0.495,"XLM-USD: USD0.5031993389129639,dif:USD+0.00822,+1.66%",1.66,"XLM-USD:USD0.5031993389129639,amount:1000.0dif:   +1.66%, pnl:5.39934"
5,USD,2021-04-22 14:59:27.187221,11.40999984741211,113.72,FTCV,1297.5451826477051,11.02,1253.1944,44.350782647705046,etoro,144.27416154706378,"{'1y Target Est': nan, '52 Week Range': '10.09 - 15.70', 'Ask': '0.00 x 1200', 'Avg. Volume': 1855102.0, 'Beta (5Y Monthly)': nan, 'Bid': '0.00 x 800', ""Day's Range"": '11.30 - 11.80', 'EPS (TTM)': nan, 'Earnings Date': nan, 'Ex-Dividend Date': nan, 'Forward Dividend & Yield': 'N/A (N/A)', 'Market Cap': '390.07M', 'Open': 11.79, 'PE Ratio (TTM)': nan, 'Previous Close': 11.8, 'Quote Price': 11.40999984741211, 'Volume': 495724.0}",2,11.8,"FTCV:   USD11.40999984741211,dif:USD-0.39,   -3.31%",-3.31,"FTCV:  USD11.40999984741211,amount:113.72dif:   -3.31%, pnl:44.35"
12,USD,2021-04-22 14:59:27.187221,257.6422119140625,5.0,LTC-USD,1288.2110595703125,242.5,1212.5,75.7110595703125,etoro,246.28989585399933,"{'52 Week Range': '38.60 - 259.06', 'Algorithm': nan, 'Circulating Supply': '66.75M', ""Day's Range"": '251.195 - 259.065', 'Market Cap': '17.198B', 'Max Supply': nan, 'Open': 257.923, 'Previous Close': 257.923, 'Quote Price': 257.6422119140625, 'Start Date': '2013-04-28', 'Volume': 3748121856.0, 'Volume (24hr)': '3.75B', 'Volume (24hr) All Currencies': '3.75B'}",2,257.923,"LTC-USD: USD257.6422119140625,dif:USD-0.28,   -0.11%",-0.11,"LTC-USD:USD257.6422119140625,amount:5.0dif:   -0.11%, pnl:75.71"
2,USD,15:08.4,64.95999908447266,50.0,YNDX,3247.999954223633,63.32,3166.0,81.99995422363281,etoro,266.7478212613777,"{'1y Target Est': 75.78, '52 Week Range': '33.79 - 74.32', 'Ask': '0.00 x 2200', 'Avg. Volume': 1916485.0, 'Beta (5Y Monthly)': 1.32, 'Bid': '0.00 x 1000', ""Day's Range"": '63.52 - 65.00', 'EPS (TTM)': 0.96, 'Earnings Date': 'Jul 25, 2021 - Jul 30, 2021', 'Ex-Dividend Date': nan, 'Forward Dividend & Yield': 'N/A (N/A)', 'Market Cap': '23.102B', 'Open': 63.84, 'PE Ratio (TTM)': 67.46, 'Previous Close': 63.38, 'Quote Price': 64.95999908447266, 'Volume': 2390807.0}",2,63.38,"YNDX:   USD64.95999908447266,dif:USD+1.58,   +2.49%",2.49,"YNDX:  USD64.95999908447266,amount:50.0dif:   +2.49%, pnl:82.0"
7,USD,15:08.4,126.83999633789062,25.0,ESTC,3170.9999084472656,122.8,3070.0,100.99990844726562,etoro,328.5551288532554,"{'1y Target Est': 176.75, '52 Week Range': '51.35 - 176.49', 'Ask': '139.88 x 900', 'Avg. Volume': 1089305.0, 'Beta (5Y Monthly)': 1.01, 'Bid': '0.00 x 1100', ""Day's Range"": '124.14 - 129.06', 'EPS (TTM)': -1.38, 'Earnings Date': 'Feb 24, 2021', 'Ex-Dividend Date': nan, 'Forward Dividend & Yield': 'N/A (N/A)', 'Market Cap': '11.386B', 'Open': 124.91, 'PE Ratio (TTM)': nan, 'Previous Close': 126.18, 'Quote Price': 126.83999633789062, 'Volume': 439190.0}",2,126.18,"ESTC:   USD126.83999633789062,dif:USD+0.66,   +0.52%",0.52,"ESTC:  USD126.83999633789062,amount:25.0dif:   +0.52%, pnl:101.0"
4,USD,2021-04-16 10:10:50.856341,23.850000381469727,132.0,PLTR,3148.200050354004,22.79,3008.28,139.9200503540037,etoro,455.16328559066386,"{'1y Target Est': 26.33, '52 Week Range': '8.90 - 45.00', 'Ask': '24.03 x 2900', 'Avg. Volume': 86642775.0, 'Beta (5Y Monthly)': nan, 'Bid': '24.00 x 800', ""Day's Range"": '23.42 - 24.17', 'EPS (TTM)': nan, 'Earnings Date': nan, 'Ex-Dividend Date': nan, 'Forward Dividend & Yield': 'N/A (N/A)', 'Market Cap': '43.461B', 'Open': 23.67, 'PE Ratio (TTM)': nan, 'Previous Close': 23.88, 'Quote Price': 23.850000381469727, 'Volume': 21858472.0}",2,23.88,"PLTR:   USD23.850000381469727,dif:USD-0.03,   -0.13%",-0.13,"PLTR:  USD23.850000381469727,amount:132.0dif:   -0.13%, pnl:139.92"
9,HKD,15:08.4,630.7984391215176,45.0,TCEHY,3656.700096130371,606.5,3510.8359916423506,145.86410448802053,etoro,474.49943650343727,"{'1y Target Est': 93.18, '52 Week Range': '49.00 - 99.40', 'Ask': '0.00 x 0', 'Avg. Volume': 3200500.0, 'Beta (5Y Monthly)': 0.5, 'Bid': '0.00 x 0', ""Day's Range"": '80.47 - 81.55', 'EPS (TTM)': 2.55, 'Earnings Date': nan, 'Ex-Dividend Date': 'May 21, 2021', 'Forward Dividend & Yield': '0.21 (0.25%)', 'Market Cap': '776.135B', 'Open': 80.9, 'PE Ratio (TTM)': 31.89, 'Previous Close': 80.47, 'Quote Price': 81.26000213623047, 'Volume': 1132858.0}",2,624.665875728258,"TCEHY:  HKD630.7984391215176,dif:HKD+6.12,   +0.98%",0.98,"TCEHY: HKD630.7984391215176,amount:45.0dif:   +0.98%, pnl:145.86"
